exp,graph_family,n,p,seed,algo,layers,width,bipartite_n,m,repeats,runtime_ns_median,runtime_ns_mean,runtime_ns_std,flow_value,cut_capacity,matching_size,edge_scans,bfs_edge_scans,dfs_edge_scans,bfs_count,augment_count,phase_count,dfs_calls,runtime_sec_median,runtime_sec_mean,runtime_sec_std
standard,bipartite,302,0.08,7,edmonds_karp,,,150.0,2067,15,13921791.0,13887633.333333334,196416.99216123493,150.0,150.0,150.0,202443,202443,0,151,150,0,0,0.013921791,0.013887633333333335,0.00019641699216123494
standard,bipartite,302,0.08,8,dinic,,,150.0,2120,15,2217583.0,2266191.8,116477.72696908929,150.0,150.0,150.0,21420,12870,8550,4,0,4,1989,0.002217583,0.0022661917999999997,0.00011647772696908929
standard,bipartite,302,0.08,8,edmonds_karp,,,150.0,2120,15,13964459.0,13902466.666666666,228547.16828500683,150.0,150.0,150.0,204701,204701,0,151,150,0,0,0.013964459,0.013902466666666667,0.00022854716828500684
standard,bipartite,302,0.08,9,dinic,,,150.0,2139,15,1867709.0,1918177.7333333334,141597.29013421258,150.0,150.0,150.0,19514,12984,6530,4,0,4,1699,0.001867709,0.0019181777333333334,0.0001415972901342126
standard,bipartite,302,0.08,9,edmonds_karp,,,150.0,2139,15,14138375.0,14146127.666666666,299991.9461244313,150.0,150.0,150.0,206955,206955,0,151,150,0,0,0.014138375,0.014146127666666666,0.00029999194612443134
standard,bipartite,402,0.05,0,dinic,,,200.0,2466,15,3476416.0,3621152.7333333334,337378.7966985788,200.0,200.0,200.0,33338,19928,13410,5,0,5,2812,0.003476416,0.0036211527333333336,0.0003373787966985788
standard,bipartite,402,0.05,0,edmonds_karp,,,200.0,2466,15,21782834.0,21755050.066666666,331185.35620953736,200.0,200.0,200.0,306288,306288,0,201,200,0,0,0.021782834,0.021755050066666667,0.00033118535620953735
standard,bipartite,402,0.05,1,dinic,,,200.0,2511,15,2762334.0,2866202.8,344431.23502920417,200.0,200.0,200.0,25586,15266,10320,4,0,4,2504,0.002762334,0.0028662028,0.0003444312350292042
standard,bipartite,402,0.05,1,edmonds_karp,,,200.0,2511,15,22205334.0,22428977.733333334,573452.0824530845,200.0,200.0,200.0,318667,318667,0,201,200,0,0,0.022205334,0.022428977733333334,0.0005734520824530845
standard,bipartite,402,0.05,2,dinic,,,200.0,2409,15,2675625.0,2762852.8,216793.29780731568,200.0,200.0,200.0,25046,14654,10392,4,0,4,2483,0.002675625,0.0027628528,0.00021679329780731568
standard,bipartite,402,0.05,2,edmonds_karp,,,200.0,2409,15,22704708.0,23455008.2,2367190.0377125028,200.0,200.0,200.0,322582,322582,0,201,200,0,0,0.022704708,0.0234550082,0.0023671900377125027
standard,bipartite,402,0.05,3,dinic,,,200.0,2389,15,2277125.0,2381636.1333333333,225204.06047718035,200.0,200.0,200.0,22286,14534,7752,4,0,4,2079,0.002277125,0.0023816361333333334,0.00022520406047718035
standard,bipartite,402,0.05,3,edmonds_karp,,,200.0,2389,15,21839708.0,21886588.933333334,202115.15888913663,200.0,200.0,200.0,310743,310743,0,201,200,0,0,0.021839708,0.021886588933333333,0.00020211515888913663
standard,bipartite,402,0.05,4,dinic,,,200.0,2402,15,2758833.0,2854525.0,205001.80361227487,200.0,200.0,200.0,25522,14612,10910,4,0,4,2602,0.002758833,0.002854525,0.00020500180361227488
standard,bipartite,402,0.05,4,edmonds_karp,,,200.0,2402,15,21443792.0,21586872.266666666,360297.89144053496,200.0,200.0,200.0,306942,306942,0,201,200,0,0,0.021443792,0.021586872266666664,0.000360297891440535
standard,bipartite,402,0.05,5,dinic,,,200.0,2388,15,3910708.0,4021258.3333333335,277377.5992749303,199.0,199.0,199.0,38307,23675,14632,5,0,5,3122,0.003910708,0.004021258333333334,0.00027737759927493034
standard,bipartite,402,0.05,5,edmonds_karp,,,200.0,2388,15,22396250.0,22458766.866666667,380254.66450785496,199.0,199.0,199.0,316595,316595,0,200,199,0,0,0.02239625,0.022458766866666667,0.00038025466450785495
standard,bipartite,402,0.05,6,dinic,,,200.0,2454,15,2363333.0,2409216.6,176675.7898176366,200.0,200.0,200.0,22788,14924,7864,4,0,4,2216,0.002363333,0.0024092166000000003,0.0001766757898176366
standard,bipartite,402,0.05,6,edmonds_karp,,,200.0,2454,15,22633958.0,22713494.4,333665.20180431515,200.0,200.0,200.0,320942,320942,0,201,200,0,0,0.022633958,0.0227134944,0.00033366520180431515
standard,bipartite,402,0.05,7,dinic,,,200.0,2409,15,2632250.0,2703530.533333333,188728.91187848803,200.0,200.0,200.0,24797,14654,10143,4,0,4,2503,0.00263225,0.0027035305333333332,0.00018872891187848802
standard,bipartite,402,0.05,7,edmonds_karp,,,200.0,2409,15,22198584.0,22249589.0,256878.52798244669,200.0,200.0,200.0,316275,316275,0,201,200,0,0,0.022198584,0.022249589,0.0002568785279824467
standard,bipartite,402,0.05,8,dinic,,,200.0,2398,15,2325125.0,2416988.933333333,230908.59011289247,200.0,200.0,200.0,22726,14588,8138,4,0,4,2127,0.002325125,0.002416988933333333,0.00023090859011289246
standard,bipartite,402,0.05,8,edmonds_karp,,,200.0,2398,15,21645708.0,21729061.133333333,257362.48559178316,200.0,200.0,200.0,307330,307330,0,201,200,0,0,0.021645708,0.02172906113333333,0.00025736248559178317
